word;meaning
 fákụrụfàkụrụ; making a light rustle, turning about lightly and restlessly
falafalá ;spread out, scattered
fálị ;miss a hold or grip
fálịfàlị;rapid movement of short legs
famụ́;beat with matchet to shake off dead leaf materials from cane rope before cutting
famụ́¹;hit, beat, slap, beating, slap 
fán; twist, wring 
 fánfanfan;very clean (of any colour),bright 
fanghaí;be twisted
fankifánki ;describes body with flakes of dry dead skin, scaly
fángha; twist, wring 
fángala;twist, bend, strangle, warp 
fánụtuu;square root
Fánụtụa;masquerade name  
 fáraagbàu;sound of a heavy body hitting the ground after slithering down through leaves
fárafàra;movement and sound of leaf, fruit, animal, or person slithering or falling down through branches and leaves of trees
féee;hollow, open,empty, uncovered
feekeféeke;loose, not tightly woven, not compact
fébele; fish
feereé; juvenile
 fémbelee;deeply
fefeneé; be light, not heavy
fénefene;describes the state of the body when it is relieved of any form of pain
féngelee;relieved, as from a heavy burden or sickness
féngelee;in deep sleep 
fẹ́ẹ²; marry 
fẹ́ẹẹ;hollow,open, empty, uncovered
fẹ́ẹ̀n; very light, not heavy at all
fẹfẹnẹẹ́;light (not heavy)
fẹ́fẹrẹfẹ̀fẹrẹ;weak
fẹ́fẹrẹfẹ̀fẹrẹ; working half-heartedly
fẹ́fẹị;weed
fẹfẹrụfẹ́fẹrụ;scaly 
 fẹíṇ;roast,scorch, treat fresh sore with pepper which will sting but heal it rapidly
fẹíṇ ;make mark on body
fẹlẹfẹ́lẹ̀;trivial 
fẹ́ngẹlẹẹ;relieved, without strings,free 
fẹịnfií;epigastrium, the part of the abdomen over the stomach 
fẹ́ngẹlẹẹ;in deep sleep
fẹngụụ́;"stealthily; done cautiously and secretly"
fẹ́rẹnfẹrẹn;clean,unsoiled
fẹrịfẹrí;whisperingly
fẹrịí;quietly, stealthily
fíe;sound
fẹ́rị;coax, cajole 
fíe²;court, woo 
beri fiemọ́ ;inform, remind
fíemọ;play
 déin fienmọ;postpone a date
fienmọ;only combined
 níni fienmọ̀ ;sniff
figigii;with force but quietly (to avoid drawing attention), as in “pulling” a canoe with force but noiselessly, or pressing some- one hard on the body with the finger or thumb to silently alert him to something
fiín;fly
fiín;fade, become flat , evaporate
finimọ́;open to
fienmọ́;postpone, defer, dress, move up
figí;special throw in wrestling
figií;spring up like when fish has taken the bait, veer about (of canoe which is not under control
fíi; cooked food
finií;be opened, unlocked, be wide, unfurling, obtuse  
finmọọ́;cause to fly, let fly
finimọọ́;separate,spread out
finkífìnkí;sniffling, snivelling
firí;leak,bleed
fitikpoo;damp
fíyoo;hollow
finyé;moon
fíri; disembowel
fiyoú;subside
fịán;faeces 
fịafịá ;be spotlessly clean
fịaroó;tasteless
fịbịbí; words spoken in death-agony
fịbụ́fìḅụ;being impatient
fịdịfịdí; be nasty, unpleasant, filthy, dirty
fịfịyọụ́; be withered or misshaped 
fịí;die
fịí ạ̀ kanaí;be in death-agony
fịdẹị-ótù; the dead  ̣
fịdịí; speak ill of, backbite 
fịí;death
 fị dọụ́;seek death
 fị ghọ́ sèrí;rise from the dead
fíị;eat
fíỵaị fị ;eat food, consume
fíị ̣sụọ;eat off, consume,earn, embezzle
fíịṣanị;alligator pepper 
fịkịmí;corpse
fílạ̀;saliva
fịí ̣ gbàdaí ̣;struggle, writhe, in death-agony
fịí ḳọ̀ọ́n;be in death-agony
 fịí ̣ gbàmẹíṇ; feign to be dead
fịí ḷẹ̀ịmẹíṇ;feign to die
fílạ̀ gbein;spit
fíḳịfịkị;saw
fịlịkáà;short, below normal length 
fílị̣kafìlị̣ka;constant failure to climb or reach a given height due to shortness
fílị̣kị;drawing back quickly
fílị̣bụfìlị̣bụ;being impatient
fílị̣bụfìlị̣bụ;describes a floater which sinks and emerge
fíṇ;pinch
fịláwà; flower, ornamental shrub  
fíṇamọ; fasten, attach
fíṇfịn;very small, minute
fíṇafịnabàụ;bag produced by an insect for its cocoon or pupa
fíṇ;be very small
fịní;" firewood, fire; "
fịnị dụụ́  ;kindle fire
bụ́mọụn fịnị;driftwood
fịnaí;get entangled, get tied up 
fịniní; mortality
fíṇị;be left over, be extra
fịnịkambalá;spark of fire  
fíṇịmọ;give extra
dịẹ fịnịmọ́;be left over after sharing
fíṇịyọ;remainder
fíọ̣kpọtọọ;rowing gradually smaller and thinner at one end
fíọ̣lọọ;very small
fíọ̣ọn; very narrow, thin 
fịnịtuú; half-burnt piece of wood
fị-ọgbọ́nọmụ̀;deathbed  
 fị-ọwẹ́ị ;fear of death 
fịrí;work, job, labour, employment, act, deed
tórụyọụ fịrị ;trading
fịrịkíì;describes a very small eye
fịrịrịị;the act of moving away stealthily or unnoticed
fíṭịbụụ; the act of diving in water
fíỵaị; food, foodstuff
fịrịbịdẹ́;working clothes 
fịrịmọọ́;send
fịtịkpọọ;damp
fịyọọ́;unsavoury, not tasty,devoid, stripped
fíỵemi tùoama ;vegetables
fíỵọọ;oozing
fíỵọọ;narrow
fíỵọọ;hollow
fịyaí;agree with, be on good terms with
fịyarụụ́;tasteless 
fíỵọọn;very narrow, thin
fóanfòan;impatient, panting, breathlessly, shallow-minded 
fóbu; describes sudden emergence of a big object from water 
fódii;describes protruding buttocks when someone is bending down
foí;son-in-law, father-in-law
fofoín;light and floating
fokafoká;describes how a fish struggles immediately it is brought out of water
fokií;secure, safe, feeling easy, comfortable
fokó;lather 
fokofokó;soapy, foamy
fókpa; loosened or relaxed suddenly from a suppressed position 
fókpaà;the sound produced by licking soup with the first two fingers 
fókpaà;sound and movement of a fishing rod which has ben set when it is triggered off, or when a big fish escapes from the hook
folafolá;many at a time
fómu; free, relieved, without hindrance
fólà;cigarette-holder
fómuu; sleep soundly in total relaxation
fómuu;describes a wide expanse of cleared farmland 
fónifoni; only a little, slightly
Wónì fónifoni kị nì ẉó daụ nimimi;We know our father only slightly
foo;blank, empty
fooó;foam and rise
fóo;hollow wide opening
foroforó;spring up, grow well 
fooó;used in describing the state of the mouth after eating too much pepper, pungent, piquant, biting, pricking   
fóon;describes a situation when one can see very far without any obstruction
fópu;describes the explosion of a cork from a bottle
foraí; come ashore,be caught on , be wedged against
foraí; be knock-kneed
Wo bụọmọ́ fòraíṇìmí;He is knock- kneed
foroforó;become foamy, frothy
foró;screen,cover
bíḅịforo;curtain
iforó àraụ ;mother-in-law
 iforó òwei ;father-in-law
fororofóroro;spongy with many holes, air spaces, or empty spaces 
fororoó;poor and with no prospects 
fóroro;describes an avaricious drinking
fotó sìn;take picture or photo
fotó sụ̀ọ; have one’s picture taken
fotó sụ̀ụrụ ;develop photograph
fọ;whatever, certainly, often used with ill-intention
fọ, gbá dìí à ;do tell me
fọ́bụ; describes how a cork is removed by extraction, and the popping sound so produced
fọdí; squeeze leaves in water when preparing medicine
kíṃị fọdị;punish brutally, beat someone thoroughly on the ground
fọ́dịfọ̀dị; struggling (of human, animals, but not fish) in water
fotó;photograph, picture
fọkíf̣ọ̀kí;dilly-dallying, acting indecisively,procrastinating
fọkọfọkọ́;"filthy; full of sweat "
fọlí;clean of earth and roots
odú fọ̀lị;clean cocoyam
fọlịí;roll on the ground with someone while wrestling
fọlịí;stand orderly in a line, fall into line
fọlịịfọ́lịị;in a state of disorder or disarray
fọngaíṇ;crooked
fọrọfọrọ; destitute, poor, with no prospects, empty of juice, empty of fish
fọrọfọrọ́ ;persistent bitter weeping
fọrọfọrọ́;foaming, frothing
bụ́rọ fọụn;ashes
fọ́ụ̀n tụọ;make gunpowder
fọ́kọ;squeeze out juice of herbs with hand for medicine  
fọlọọ;be worn out, tired, exhausted  
fọ́ụ̀n;ashes ,gunpowder 
tíḅị fọụn; wave, signal with hand
 fọ́ụn; blow 
fịnị fọụ́n;fan fire
fọ́ụn;swing (something) round in air
fọ́ụn-ìg̣bọ;drag-net
tein fọụ́n;gunpowder
fọ́ụn²;shake
fọ́ụnfọụnbàụ; fan for fire usually made of pínì  
ịmbụraụ́;my sister, my female relative
ịmbụ́ràụ́; your  sister, your female relative
ịmẹ́ẹlẹị;fat of fish, animal  
ịmẹ́ẹlẹịtuo; waterleaf 
 ịngbẹsẹ tịíṇ ;crucifix
ịngbẹsẹí; be across
ịngbí;be sour, tart
ịngbí;scrotum
 opu ịngbí;enlarged scrotum
 ịngbí-̣àpụra;scrotal skin
bólou-ịngbị ;hernia
ịngbịgbịya;emphasize, lay stress on
ịngbịlíì;short and bulky
ịngbẹsẹ́; put across,cross
kpáịfịyụụ; describes sucking sound as of a snail withdrawing into its shell, hence, a contemptuous sound with the mouth to express dislike, disregard, and disapproval
ịmíṃịlị;slippery
ịngbaí;today
béiìṇgbaị;today
ịmẹ́ẹlẹị-ịmẹẹlẹị; fatty, greasy
ịmbẹlịpẹ́ẹ̀;short
ịngbíṃọ;endure, persevere
ịngbịsáà;describes a child with bulging stomach due to undernourishment or sickness
ịngbíṣẹ̀lẹ;testicle
ịngbịsí;millipede
ịná; black tribal mark down forehead and on nose 
ịndaá;how many
ịndágbudu; countless, numberless, myriad, a host (of people
ịngará;extortion, tendency to cheat
ịngásì;spoon
ịngịrọ́ọ̀;in early stages of growth (as child) , newly born, juvenile, youngish
ịngọlọkíì;be skinny
 ịngara fịí;̣extort
ịndágbudu;strong, surviving even in difficulties
ịndakụ́ụ̀;shortish and angry-looking
ịndálì;wire
ịná-ìg̣banghị; a narrow strip of flood-free land
ịngẹ́ẹ̀;crying of a child  
ịngíg̣ị²;describes how an older person beats or bullies a younger and weaker person 
ịngịmẹíṇ;produce some pressure in the stomach in order to bring out faeces
ịngịrịbaịngíṛịba¹;having a rough edge 
ịngíọ̣;be sickly, fail to thrive or grow normally
ịngịọrịí; rejoice in a festive mood also accompanied by music
ịngịrịbaịngíṛịba; describes remnants of food
ịngịríì; very short, skimpy, mini
ịngíg̣ị¹;describes how unmatured fruits or food crops are harvested
ịngọ́lọngọlọ̀; tree with ‘male’ and ‘female’ varieties  The reddish fruits are eaten, the root stimulates the penis,the beaten and dried stem is used as a torch, and the stem is used as a spike and handle for ladle
ịnịkịtáà; very short 
ịnọ́; to you , for you
ịnọọ́;to me, for me
ịnọ́ụn;sore, wound
ịnọ́ụn sụọ ; sustain or suffer wound
ịnụ́; be smooth and well-mixed
ịnụíṇ;become smooth and well-mixed
ịnụíṇ; be fully harmonious,be fully in agreement
ịnụ́mọ;make smooth and well-mixed
ịpáịn;Christmas bush whose leaves are used to treat wounds and whose red fruits are used to make black dye for uté mat  n. 
ịpámụ;only in, million
ịpọlí;clitoris
ịpíỵọ̀ụ́n;feeler or antenna of shrimp
ịpálịpalì-̣mọ-sísei-mọ̀ ;two affectionate, intimate friends
bíḅị ịnọụn;ulceration of the mouth
ịnọ́ụn akị tụa ;wound, cause to be wounded
ịpásì;broken pieces of plate used for game
ịpịtẹí;talk in an arrogantly angry way, emphasizing every word
ịpịtẹí ṇì ẹ̣rẹẹ́;talk emphatically
ịpíỵọ̀ụ́n;feather
ịpọ́rị;beard, moustache, 
ịpọrọọ; littered, in a state of untidiness, with disorderly accumulation of odds and ends 
iịpọ́tọbụ; very simple, easy (problem),cheap
ịpụ́rọ̀ụ́n;wing of an insect
ịrangíì;very small in size, extremely small
ịsagháị;kapok or silk cotton tree
ịsagháị-tùu-nama;antelope type probably the Yellow-backed Duiker  
ịsọ́mụ; message, deputation (of two people) to negotiate on behalf of somebody or some group
ịsụsụ́; eggplant
ịsọ́mụ owei ;messenger
ịsọ́mụ tụa ;send deputation
 ịsọ́mụ wẹnị; go on deputation
ịsọnfí;investigate,enquire
ịsọ́nịsọnìḅaụ;discriminating
ịsaíṇ;be hygienic 
bụ́ụ ìṣaíṇ ;keep away from filth
ịtákpà;"n. many small marks made on children; a tattoo mark on the face; a horizontal stroke below the eye ịtalí ̣n. midges (Culicoides) [check id]"
ịtáụ̀; sucker, shoot,  scion
 ịtáụ sòu; remove suckers from main plant
beriba ịtáụ;plantain sucker
ịsaní;pepper
ịsíṣìlị̣ báìṣị;no way to make any progress
