word;meaning
bou bọọ́ ;get lost in forest
bóru;
boú;bush, forest, area very rich in a particular forest product
bou terí;close the bush from cutting palm nuts or cane ropes for a period
bóu fubou; fold the arms across the chest, as when one is morose or feverish
bóumọ;make drink
Beni ní ù boumọ́ ;Make him drink water
bou kpotú;surround a portion of bush, cut the grass around, and kill the animals that run out (especially in the flood)
bou mọ́ bòlí;cover up, hush up
boú sèí; be unlucky
bou sụọ́;go to “bush”
bou teín/wẹní ̣;  hunt
bou ekírimèki ; deep in the forest, far from the river
bou finí;declare the resumption of palm-cutting, rattan-cutting, or ẹgbẹnẹ collecting 
 boú, iterí ; bush, cover me
bou kọọ́n; fish,search for fish
bou-ẹdẹ́ịn;sedge with sharp sword-like leaves 
lands;[‘bush-kernel’]
bou-obírimà; pod of shrub used for dyeing 
boukiri-ólògbo;medicinal herb 
boukọ́ọn;snake which lives in lakes and fishponds, and feeds on fish  
bou-ọdọ́gụ̀ma²;medicinal herb
bou-ọkíạ̀ ; bird, the Giant Kingfisher 
bou-ọgụ́gọ̀ụ;plant 
bush;[‘bush-river’]
boutuún;an impromptu hat, improvised hastily with plantain leaves while in the bush for shelter against rain [‘bush-hat’] boutuún rain-hat made of two layers of woven fronds, between which dried plantain leaves, or nowadays plastic, are fitted
 bou wẹní; hunt
 bouyabásì ̣;medicinal plant
boyá; bamboo-palm from which thatch is made of
bịsá bọ̀ ;that person
anị bọọ́ ;that person
burugborobọ́ ;planter of yam
kẹnị bọ́ ;someone
ụbọọ́;any person, that person
bọbịyọbọ́bịyọ; not firm in gripping things 
 bọ́dị ;shrink, shrivel 
bọdọbọdọ́ ; not loud, less audible,gently
 bọlọbọlọ́ ;gay, colourful, attractive
bọ́lọ; soft-wooded tree used for canoes 
Bọ́lọụ²;male personal name
 Bọ́lọụ Ayaama ;name of the first ward in Opokumá from the north
bọ́lọụbọlọụ ;always first or in front
bọ́lọụbọlọụ ifie;in ancient times
bọ́lọụbọlọụ mìẹ̣mọ́; continuous action, development, or improvement 
bọ́ọ;match, be equated, forgive
bọ́ọ;door, entrance
bọ́ọmọ;cause, allow, to pass
ịbọọmọ́;"let me pass; allow or permit me"
bọọyaí;be equal, equivalent to, equated in value
bọ́ọmọye; forgiveness, contradict each other, be opposed (as in giving evidence)
bọọyaí; miss each other
bọrọbọrọ́; warm, tepid
bọrọbọrọ́;calmly, softly
bọụ́; be soft, weak, easy, kind, cheap
bọụ saí ̣;be generous, benevolent
bọụ tụá ;be kind, generous
túbo bọ̀ụ́ ;be cheap
bọụ́; be low, swampy
bọụmọọ́ ;soften, control one’s anger, calm or cool down
bọụ́; fish 
buború; late afternoon and early evening “evening”  
búbu;eat happily,feast
múule;roll a round
búlee;big
bunebuné;woolly (e.g. cotton wool)
búle;roll someone over
buní; fig tree
búnìbuni;full of grey hair
burezeé ;sleepy and dull
buntịbí;region below the abdomen where the pubic hair grows
burú;yam
buru abá;yam rack
buru ịsábà;small yam tubers which grow out of the main yam, or from the remaining portion of the yam
ẹbẹbúrù;cassava 
 ịyọ́rọbùrú;water-yam
owéibùrú;white long yam
buruduí; tree used for chewing-sticks 
búuruu;dirty and dusty 
búuruubuuruu ;very dirty and dusty
 buuú; crumbly
 bụbá;be healed (as of wound)
buún;private part
bụbá;be ready, mature,  be done (of food), be mature in mind,understanding, be well- behaved 
 bụbaí;yesterday 
bụ́fị;be accustomed to
bụgịzịbụ́gịzị;unsteady in motion, tottery, doddery
bụgọ́; monkey
bụlọkịí; be in abundance, boundless, without limit
bụkẹbụkẹ́ ;timid,afraid of taking action
bụ́mọụnfịnị; firewood collected on sandbank, driftwood
bụ́mọụn-ìṭaíṭàí ̣;bird, the Grey Pratincole
bụ́nụmọ;lay down, lay flat
bụ́nụ;sleep, sleep with, have coition, sexual intercourse with  v.cs.  (carton, etc.)
bụ́nụ-òbuna;sleeping-mat
bụráụ̀n ;flattened
bụrẹzẹẹ́ ;of someone weak and walking slowly and quietly 
bụ́rafụrụ; aromatic herb
bụ́ran;slap lightly 
bụrẹzẹẹ́;sleepy and dull,drowsy 
bụ́rọụ;fireplace, hearth
bụ́rọụ fọụn ;wood as
bụ́rọụ tịbị dụ;part of hearth where fire is lighted
bụrụ́ ;be rotten, decay,decompose
bụ́rụbou ;native medicineman’s shrine
bụ́rụbou sụọ; go to bush to collect herbs, go to another town to practise one’s trade,  go to another town to employ medicineman to make medicine for oneself,consult oracle 
 bụ́rụere;prophetess, female fetish doctor
bụ́rụkịmị ; prophet, fetish doctor
bụ́rụowei; male prophet, fetish doctor 
 bụrụmọọ́ ;ferment by soaking in water
bụụ́; yam heap
bụụ-kíẹ̣̀n ;bird, Yellow Wagtail 
bụ́ụrụụ ;dirty and dusty 
 bụ́ụrụụbụ́ụrụụ ;very dirty and dusty
bụ́ụbeni;fish-pond water 
bụ́ụtiri; catchment area which supplies fishpond with fish  
bụ́ụzee;ashamed of oneself
bụzẹẹ;looking sickly, inactive, drowsy, wretched
dáa;bolster up, prop, support
ọmọụn daá yọ̀ụ́;"pull against current; "
dáa;push off, shove off
dáa;" move or pull against current, waves, tide, face, defy wind or rain  5 v.t. ;  7 v.t. : Iné bara nì ị̣ daa kụ́mọ Do not point your finger at me. 8 v.t.v.loc. angle; fish with rod;  ;(cf. déi)9 [tone class 2 or 3?] v.t. ;¹0 v.t.;;¹¹ v.t. (canoe with sticks while softened by fire) usu. árụ daa¹² v.t.;  ̣"
osuo daá;defy rain
 dáa;challenge one’s authority,oppose
dáa;point to, at
dáa; and 
bára dei dàa;angle
dáaye ; fishing-rod 
 dáa;imitate,copy closely, take as model
kíṃị daa; imitate someone 
 dáa; test the sound or depth of water
dáa dìí ; test and see
dáadìiyé ; test, examination 
dáa;expand, widen 
 dáa; accept, receive, welcome
yé daa nì ̣ akí;accept, receive, something
dáamọ;push out
árụ dàamọ páamọ;push out the canoe, offer ,present to, give, bestow 
dáamọ;bolster up, support
dáadirì;n. medicine or charm used in testing or finding out
daayaí; be opposed to, be in competition with
dába-iyeri;weight loss in babies, as a result of disease or malnutrition 
