word;meaning
Erí àmáotu okobamọ́ fì ṣintọọ́; He has embezzled the money belonging to the town
Fịkịmị báràbị dụba kaamí;The dead person’s arm is very big 
Erí fìṇiní fàáà, u beí ìzozouyembi?;The way he is boasting, is he not mortal?
 Indimọọ́ bẹ̀ẹ́ àkị tọbọụ́ fìṇịmọ ;Give the child some more fish
 Fị ogbúgbà dụbamí, ̣ báa timiya ìne bei wárì ị̣yọụnbị arí f̣ìḍọụ́ ;Were it not for the finality of death, I would have died because of the burning of this house of mine
 Fịrí ṣèi kịmí, ̣fịrị omónì;A person with a serious piece of work is a slave to that work
Fịrị kaléì fa ;In work, nothing is small
Fúrukịmị fìṛị furughá ;A thief does not steal work
Erí fịrịrịị kị wẹ̀nị tẹ́ịmị;He moved away stealthily
A mọ́ ì ṃ ọmọ́ fìỵaịmí ̣;She is on good terms with me
I mọ a mọ́mọ fìỵaịghá;She and I are not on good terms
Amábị fịyaị ìẓaán, ịndaá ìndií fàá;There is plenty of foodstuff in the town, but no fish
Tọbọụbí ọ̣  ̀ngọ́ sẹ̀ fịyaịị kí ẹ̀mi;The child’s body is clean and neat
Bení fịyọọ kị tẹ̀ịnyémi;The water is oozing out
 Opóolobi fịyọọ kị èmi ;The hole is narrow
 Ẹsẹẹ́n fòkomí ;The soap lathers well
Wónì fónifoni kị nì ẉó daụ nimimi ;We know our father only slightly
 Nkịyóụ sẹ̀ ịnọọ́ fòo kí èmi ;My mind is a blank right now
Tẹ́ịn timi tìṇ bị bó fòraíḍọ ; The floating tree-trunk has come ashore
Erí tịnbọọ̀ foraíḍọ ;He is wedged against the tree
Ọ mú fọlị yèé ;You go and stand in a line
Erí gbun fọụ kị tùbomi ;He made a big gain in his trade
 Fọ́ụ èmí yàa?;Anything for sale? 
Fọ́ụ fàáà? ;Nothing for sale? 
Fọ́ụ èmí ;(There’s) something for sale 
Fọ́ụ fàá;(There’s) nothing for sale
Fọ́ụ̀n gbéinbọ tịbị kị ùwoumi ;Let the ashes blow back to the person who throws them
ụtárànbị fúndomi;The fufu swelled up
Ọrọ́ fuobi èbi fuó;ou are happily marrried
 I fụ́ìṇ mọ, ye ị fámụdọ;If you dare, I will beat you
 Kẹní f̣ụìṇ kpọ mịẹ kụ́mọ ;Don’t try anything on
Dádìghá fụ̀lọụ ịngbí ṭíṇ kụmọ ; Don’t complain the soup is sour until you have tasted it
 fụ́lọụ bou;drink soup
fụ́lọụ tụọ ;cook soup
Arí ̣ fụn kẹ̀nị ébì egberi naa wónìmí;I heard a piece of good news that is not yet generally known
Bịdẹmọ́ sẹ̀ fụụlụfụụlụ kí ẹ̀mi; The clothes are full of holes
Beribaá sẹ̀ gabụgabụ kí ẹ̀mi; This plantain is very immature
Ọngọ́bị ìṇọọ́ gàdagadayemí ;My body is itching
Ọmịní g̣àdagada káà fịrí ẉẹ̀nịmị ;They did the job in a team spirit
Tíṇ sẹ̀ gadịgadị kí ẹ̀mi;The tree is very thorny
Wónì ọrọ́ gaịn kị dọ̀ụyémi ;We want your age-group
Ọ boó gàlabaíỵemi;The two of them have come to be on bad terms
Fíimọ gànịí ̣ kamị ; The foodstuffs are dear
Kíṃ ịmọ gàragara káàá nama pẹ̀ị yọbọ bómèé ; The people came quickly to butcher the animal
Erí wò ịgbụ́mụ̀ gbaayémi ;He is trimming his unfinished canoe
 Arí ṃọ gbàagha; I don’t say so
Erí kẹ̀nị dụ́ụ̀ gbaamị;He told (us) a tale
I gbaá fàdọụ́ ;My word is final
Gbaalịí ḳịmị tọbọụ ye ;To err is human
Ogúga gbàn ;Shut the door
Áràụ́ ụ̀dẹ á tọ̀bọụ́ gbànmị;She rubbed the child with pomade
Áràụ́ gbaan kị nì ạrá tọbọụ tìṇmị;She shouted for her child at the top of her voice
 Erí gbàdagbada káà fíỵaịmọ tụ̀ọmị;He cooked the food hurriedly
Áràụ́ fìṇí g̣bàfarayémi ; She is chipping pieces off the log for firewood
 Eréma gbagbaà kị serimi ;The woman suddenly started up
Erí gbàgbalaa kí ḳòromi;He fell flat on his back
Dụba kịmị báràbiri gbagidigbágidi; A big person’s arm is huge and muscular
Erí warị bọọ̀ titi gbaigbaiyemí;He is thumping on the door repeatedly
Erí kẹ̀ní g̣ba gbaị ; He said it correctly
 Indií dọ̀lọ́ gbàịn bó ;Bring a little fish to me stealthily
Áràụ́ lọọsì g̣bala wónìmí ;She is wearing a headtie
Wónì ị gbála wonìmí;Our support is with you in your venture
Ebi bịdẹmọ́ fọụtiri sẹ̀ gbalamọ wónìmí ;Fine cloths and clothes fill the whole market
Erí wò la bóghàbị akị dọ̀n kí g̣bàmẹịnmí; ̣He pretended that his failure to come was due to illness
 Áan án bìḅị ị gban bọ́ọ;Let no uncalled-for trouble befall me
Arí g̣bànụ́ kpọ̀ faá;What I say is right
Gbanụ́, ị tịn kọ́rị ;Sorry, what I said is not right 
Wo ikókìbi gbaréè ki emi ;His hips are lopsided
 Eréma (kẹ̀ní)̣ gbàsii kí pàamị;The woman is well-built
Kíṃị gbein bòu duo sụ́ọ fàá ;Someone has rushed into the bush in protest
 Erí gbèiya kí ̣ kòromi;He fell with a bump
I tíe kì bịmẹíṇ nì ̣ gbélegbele nì ị̣ tịnyémàáà?;Why are you calling me so loudly?
ụ mọọ́ ì ṃọmọ́ gbèlemẹíṇ nìmí;He is related to me
Akasí g̣bèlemẹíṇ bụnụ ;Lean back in the chair and sleep
Arị kpọ́ wo egbérìbi gbelimi; I too support his story
Arị kpọ́ wo egbérìbi gbelimi; I too confirm his story
 Gbẹ́ saa, fa saá; A debt once paid is finished
Gbẹ́nẹgbẹ̀nẹ tịn kụmọ dọụyémi;We want a real tree (no substitute)
Gbẹnẹịn indiama kị èmí;The fish are reaching a good number
 Béi àmabị ọwọụmọọ́ bo gbẹnẹị kị ìẓandọ́;Children are fairly numerous in this town
Gbẹ́nẹịn kịmịama kị bodọ ; A fair number of people have come
Eréma gbẹnẹịn kị èbimi;The woman is rather beautiful
 Kíṃịmọ gbìi kí bànghị pámị ;The people rushed out all in a body
Erí gbií kì ni wo konú tìtimi ;He hit him whang! on
Kíṃịmọ gbìrigbiri kí bòyémi;the back.
 Trénìbi gbirigbiri kí ìgbemeé;The train slowly drew to a halt with all its wagons
 Ọmịní g̣ biripúgbìripú kì yọụmị ;They paddled forcefully
 Bịdẹbí g̣bitiriídọụ;The cloth is crumpled
 ụ mọ a mọ́mọ gbìṇ mẹịnmí ̣ ;:He and she embraced each other
Ọngọ́ sẹ̀ (kẹní)̣ gbìṛịsịgbíṛịsị; The (person’s) whole body is flexible
Kíṃị yọbị gbòdo kụ́mọ ;Do not litter the place with dirt and rubbish.
Bụ́mọụnbị gbòláà kị padọ́; The sandbank has appeared conspicuously
Áràụ́ fìṇ ịmọọ́ àkị gborei kí kòromọmị ;She flung the firewood down with a thump
Béibì ine gbọrụ́-ìngbeé ;This is my only child
 Erí gbun-fọụ kị tùbomi ;He made a big gain in his trade
Áràụ́ fìṇịmọọ́ gbèin gburaị kí ḳòromọmị;he flung the firewood down with a crash
Ọngọ́bị ìṇọọ́ gbùrugburuyemí ;I am feeling uncomfortably hot
 Iné egberibi ìne ọngọ́ dùo gbụrụrụụ kí ṣụ̀ọmị ;I have thoroughly absorbed your story
Kíṃị ì f̣íṛịmọdọ aba, árì ṣerimọọ́ sẹ̀ gbụ́ụnụgbụ̀ụnụ kị/kụmọ mịẹyémi ;When someone sends you on an errand, you always seem reluctant
Yeị fíṛịmọda aba, gbụ́ụnụgbụ̀nụmọ mìẹ̣ kụ́mọ ;Whenever I send you (on an errand), don’t show reluctance
Ebibará ẹ̀rẹ, gebegebe kụmọ́; Speak up, don’t hesitate
Tọbọụ́ gèdegede kí ỵòuyémi ;The baby is crying alarmingly
Gégege kụ̀rọmọ bara gbá èé; Tell him firmly
Gégege kụ̀rọmọ bara gbá èé; Tell him clearly
Kọọ́n sẹ̀ ịnọ gegéin ki èmi ; My neck is stiff
Árị géregeremọ nì ụ̣ mọmọ́ mìẹ̣́;You should deal with him plainly
I mughá ; I did not go
I mughá ;/ am not going
I mughá fàngími; I will not go
Erí nàá bogha ;He has not yet come
Tarí ạ̀má ghọ èmí;Tarị is at home 
 Erí bolou warị ghọ èmí ;He is in the bedroom
Ofóni tịn ọgọnọ ghọ tịẹ́nìmí;A bird is standing on top of a tree
Áràụ́ àmá ghọ mudọ ;She has gone to town
Fịnịmọọ́ gidiyemi ;The fire is blazing
 Erí ìne ẹ́rì ḅị, erí kẹ̀ní g̣ìdigidi kí mìẹ̣mị;When he saw me, he showed great happiness
Páayebi gidimàgídi yòo; What happened is very great indeed
Toriyebí kẹ̀ní g̣ìdimu kí àkị déi mìṇịmị ;The toriyé-fish swallowed the hook completely
Erí gìdimu kí àkị naá ègberibí àkịmị/mìṇịmị ;He swallowed the story hook, line, and sinker
Erí gìdimugidimu kí àkị naá bènibí bòumeé ;He drank the water hurriedly with big gulps
 Diimọ diimọ́ o! Árụbị àkị nị ị giri kụmọ́ o! ;Take care! Don’t let the canoe bump into me!
Ọngọ́ sẹ̀ ịnọọ́ gìrigiri kí sẹ̀ịyémi ;All my body is shaking
Árụbị gìriri kí àkị naá kiri kọrìṃeé;The canoe ran aground (by accident)
Wónì giriri kí àkị naá arụbị ìgbemeé ;We drove the canoe ashore 
Erí gisi kì tịtẹmị; He sat down forcefully
Ámà, dọlọ́ gisi yàa; Madam, sit down for a bit
I tíe kì gịanmọyémàáà?;What are you in such a hurry for?
gíạnmọ bo; come quickly
"Yébi ìṇọọ́ gíḍị kị èmi yeé; arí ṇàaghá èé ";"The thing baffles me; I don’t understand"
Erí gìḍịmụgịdịmụ kí ạ̀kị naá bènibí bòumeé;  He drank the water hurriedly in small gulps
 Erí gìg̣ịgị kí ạ̀kị fịrí ẉẹ̀nịmị ;He strained every nerve to do the work
ụráụ kụ̀rọmóò, gíịṇ kpọ mìẹ̣ ;What a scorching sun this is!
Béi tọbọ̀ụ daụ mọ́ gìṇaịnmí ̣;This child resembles his father
Sụụbí ỵọbọọ̀ gịmẹíṇdọ;The fight has broken out there fiercely
Arí ṭìé kì ni ị míẹ̣màáà, ị mẹ́nì ̣ ị mọmọ bei gíṛàịn mọ tịẹnimi barabị?;What have I done to you, that you so constantly oppose me? 
Arí g̣ìṛịfụ kí ṇì ạ kọ́rịmị; I caught her red-handed
Tọbọụbí ạ̀kamọ gịrịgọgíṛịgọ kị èmi ;The child’s teeth are uneven
 Arí ̣ gìṛịmụgíṛịmụ kị nì ụ nimi wónìmí ;I know him thoroughly
 Bení sẹ̀ gịzọụgíẓọụ kị èmi ;The water is very dirty
Godágòdámọ̀ mu yọ́ là ;Hurry to the place
Ingoó ọ̀ndụmọ sẹ godobágòdobá kì ḍeri wónìmí;The lines of the weft of the lobster-pot are widely spaced
Ọrọ́ ù dií, gódogòdo, inéngi kịmị bàra; Look at him, as sheepish as a deaf person
Egberimọọ́ bo bèribọ́ọ̀ golaa kí p̣àdọ́;The stories we have been hearing have now become clear to us
Kíṃị ìne nanayémọ̀ bịmẹíṇ nì ị goli kụ́mọ ; Don’t envy me because of my property
Kíṃị ma kẹ̀ní ị̀ye kpọ goo kụ́mọ ;Don’t be reckoning any longer
Áràụ́ òró gòodọ́;She has dyed the oró-mat with different colours
Kíṃị àkí ṇì ị goomọ́ nì ẹ̣rẹ kụmọ́ ;Don’t make any innuendoes against me
Erí gorigori ki àkị yé ẹrẹyemi ;He talks eloquently
Yeé ụ̀ sọọnlọ́ mọ̀, erí kẹ̀ní g̣ọdị kì ṃịẹmị;When I tickled him, he jumped in surprise
ụ sọwẹí ṭimi pa bo bi, ọrọọ́ ụ̀ gọdọmí ̣; When he came out from hiding, they beseiged him
I kụmọ́ bịọbọ̀ọ gọ́dụụ nì ̣ emí;I am lonely staying here
Erí wò warí g̣ọ̀gọlọdọ́ ;He has demolished his house
Egberibí gumadọụ wèé ;The scandal is out in the open and painful
Fúròú sẹ̀ inoó gumali kí èmi;My stomach is comfortably full 
Bó ni ì ̣ mọmọ́ gùnugunu timí;Come and keep me company
 Bó ni ì ṃịẹ́ gùnugunú;Come and keep me company
Erí guri kì serimi;  He got up quickly
Mú ni ẹ̀pẹ́tẹ̀mọ guumọ; Go and shovel away the mud
 Garímọ̀ gụa;Mix the gari
 Arí ̣ ìne warị kọ́ọ̀ gụbaíṇìmí;I have confined myself to my house
Ọmịní g̣ụ̀ẹẹ kí ḍẹ̀rịmí ̣;They (all) laughed together
I kịrí ẉò ịnọ́ụ̀n gụọ bụbamọmí ̣;It is I who cured his sore
 Erí àndá diri gụọmị;He procured a wrestling medicine
Ọ munghíbì gba pẹ́lẹdẹị nì, ̣ọ koro gụ́sẹmị ;When they had agreed to go, they started to trek (a long way)
Iberebere kí ụ̀ kọrịmí; He was dumbfounded
 Erí àrá bara ghọ ìfiri fịmí;He received compensation from her
Ọwọụmọọ́ ìgbúduyàị kị zoruyémi;The children are playing in a group
 I béi fịrì ẉẹnịgha abá, arị kpọ́ wẹnịgha;. If you won’t do this work, I won’t do it either
 Kíṃị ì ṃ ọmọ́ ìgoí kụmọ;Don’t try to force me to do it
Igóinzoro ògidibi wóroròon paa bómi ;The igóinzoro matchet came out to its full length
Yé ìkénnghimàáà?; Can you bear it? 
 Ikén kpọ fà timí, ẹrẹyemáàáà?;You have no endurance, and yet you are talking?
Ọrọ maá kìṃị ikiamí;The two of them made friends
Kíṃị ìkpé kụmọ;Don’t tell lies
Ikpéte nì a kpọ́ gbànaịdẹịbí, ̣ị maá tè bara kí ̣ mìẹ̣nghị; In so far as she has agreed, what else can I do
Kíṃị ikputu boyemi; A large number of people are coming
Iné deyemi debi, ye ị mọ́mọ ìmbísenghimi;This pride you are showing, I will deal with you seriously
 Árụbị ìmeínyemi;The canoe is leaking a little
Béi kịmìḅị imemeín kamèé;This man is very stingy
 Iné biiyebi, yeé ìmemeín nì ị píṛịnghimi;The thing you are asking, I will give you a little
Fụ́lọụbị ìndemọ;Thicken the soup
Bení dụ̀bá ìndi indíghà ; Big water does not always contain plenty of fish
Tọbọụbí ị̀ndoumọ;Suckle the child
 Iné ye ki ìné ye ;Yours is your own
 Erí ìné ẹ̀rịdọ́;He has seen you
Egberibí bo ni ìnébịrịkì ḳọọ páamị ;The matter reached a stalemate
Egberibí bo ni ìnébịrịkì ḳọọ páamị ;The matter became deadlocked
Inémọ timi nì ụ pịrị vụ́rọ;Endure the flogging he will give you
A díi yèé, inenghíì!;See her, quite deaf!
Bụ́ụ benibi ìrídọ; The water in the fishpond has gone down
Wo okólòbi irími; His voice became hoarse and cracked
iséna kịmì;nine men
Erí ye fị dịbị ìsíkì ;He is very fond of eating
I tịíṇ yèé ;Call me
I boyémi ;I’m coming
 ị daụ́ ;my father
Erí ì ṭíṇyemi;He is calling you
 i yeí;my husband
 ị dáụ ;";your father"
 i yéi;your husband
 ị bánghìṇ ghímiì?;Will you run?
I kpọ́ ì p̣ịrị kí, ̣ ị kpọ ị  píṛị ;You give me, and I give you too
Ekpétiama- Agụdama nì ị̣badó, beni kpọ́ èmí, laịtiríkì kpọ emí ;" Agudama-Ekpétiama is exceptional; it has pipe-borne water, it has electricity"
Iné ịfịfịyọụbị pẹ̀lẹ;Stop your whistling
Arí ḅo ni sèi ịkálì ̣ kọ tíẹ̣dọ; I am now in a precarious position
Sẹ́ị ịgbanụ ma boyemi;The dance group is coming
Eréma bòú fà bị, ine ịkíỵọ̀ụ póumi;When the woman got lost in the bush I imagined the worst
Ikịyọ́ụ àsa gbeinyémèé;I’ve forgotten (temporarily) what I was about to say
Ikịyọ́ụ bèke sụ́ọ̀dọ́ụ wèé ;I’ve forgotten (permanently) what I was about to say
 Erí ìḳpíṭịị bogha fànghími nì, wó ù koru kụ́mọ;As he will not come for a long time, let us not wait for him
Béi kịmì ḳụrọbí ̣ ìlọ̣ọ́ ;This man is very strong
Fụ́lọụbị tụ̀ọ nị ịmbẹlẹmọ́ ;Cook the soup and make it tasty
ịnda kíṃì?̣ ;how many people?
Kịmị ịndagbudu ki fì ̣ yọbọ́ọ̀ bómi ; A host of people came to the house of the deceased
Indẹị kí ị̀ ṣ ẹ́ịbọọ̀ bonghibi, okóbà subo ni ebimọọ́ ;Indẹị kí ị̀ ṣ ẹ́ịbọọ̀ bonghibi, okóbà subo ni ebimọọ́ 
Indẹí ṇ ì, ̣ọ paa kí ̣ mumi;After that, they just went away
 Arị kpọ́ pẹ̀lẹí ̣ ìṇga kị akị líị ̣ùwouyémi; I am also climbing a palm-tree with a weak rope
I páa nì ị̣ngíf̣ụrụ mọ̀, ye ị fámụ lamọnghimi;If you are still obstinate, I will beat you severely
Béi tọbọ̀ụ ịngíọ̣mị;This child is sickly
 Egberí kẹ̀ní ḅo ni ìp̣ọ́tọbụ kị pàadọ́;The problem has become very simple
Buru tubobí fọụtiribọọ̀ ịpọ́tọbụ ;The price of yams in the market has become very cheap
Áràú ịtọ́nlẹị kan;She is the mother’s first child
 Erí  ịtọ́nlẹị kan;He is the mother’s first child
 Iye okídọ;I have swum
 Iyé okidọ́ àa?;Have you swum? 
Ọ mu ni ịyọ́bọọ̀ kpeimí ;They went and gathered at the place
wo bará ìỵọụnbị ;the burn on his arm
Garímọ̀ fọ́ụbọò ịzandọụ́ ;There is plenty of gari in the market
Izónbaì?̣ ;Is it true?
Izọ́n bịbịì?̣ ;Is it a true word?
Izọ́n egberiì? ;Is it a true story?
 ị kẹ́nì káan kàan kpọ mịẹbị;You are struggling too much for your livelihood
Kán mìṇíì ̣ṇi erí bei àrụ kara sinyá, árì ṃú ni ù kuí pẹ̀ịdọọ́ ;After he has finished struggling to carve this canoe, you have gone and broken 
Timítìmi, ine tọbọ́ụ̀, ine timi bárà timi ;My son Timitimi, be as I am
 I tụá kàbụ kụmọ́ ò!;Don’t make innuendoes about me!
 Erí kàbụkábụ̀ ẹrẹ ẹrẹyemí;He is always talking in proverbs
Erí kafalaa kị wàịmị ;He quickly turned back 
Béi ègberibi ni ị kakamó kụmọ èé;Don’t involve me in this matter!
Kákarakòkoro obiri dẹnghịmọ́ ùngbou; Bone that defeats tough dogs (taken as a title by a tough man who is difficult to defeat) 
 Erí kalị bànghí f̣àdọụ́ ;He ran away very quickly (escaping from something)
Fin bọọyémi kàma akị nị ọngọ́ fàmụmọ́ kụmọ, erí ì ̣ téinnghimi ; If a bee is flying past, don’t bring it to yourself, it will sting you
ine tọbọ́ụmà kán kọọ̀ ine ẹ́rì ṃọ…;as soon as my daughter saw me…
Kán kọọ̀ u boó mọ̀, ọ koro sẹ́ịdọ;As soon as he arrived, they started to dance
Dọụ timi kíṃìṃọ bó karadọ; The people we were looking for are now complete
Eréin kàrakáràtọ́ụ; The moment has arrived
Yé bo kàrakáràdọ́ụ;The time for action is fully here
Béibì karamú-kìrimú òo! ;This person is a great eater!
Ọkụ́rụ̀mọ kárasịdọ wèé;The okra is over- mature (hard and stringy)
Obiribí kawookawoo ki dòroumi;The dog made a whining noise
Keikeí yò! ;Take care how you talk!
 Egiri kéinkein yò!;Be well and successful!
Ofónibi àngamọ́ kẹ̀kẹdọ́ ;The hen has hatched the eggs
Kẹnị ghọ́ tẹ̀ịya, kẹní;Ọne disaster after another
 Kẹ́nị seri kụmọ̀ bou;Drink only once
Kẹ́nịseri bou;Drink it up
Ma diokó sụ̀ọ timi otumọ kẹ́nị sụ̀ọmẹíṇ dọụ wèé;The two people who were on bad terms have now made peace/ been reconciled
Ará duwoi timi bụọgbasa lọ̀ọ tụabị, kípi kì fiemi ;When they massaged her dislocated toe, it snapped back into position
 Tọbọụbí ḳ iri gbelègha; The child always wants to be carried
 Indimọọ́ kíri gbelègha bara kị yẹrịmị ;"The fish were sold out immediately; kíri kọọ̀ remain"
Ẹnií ìne tịẹními kìrigha;That is not my plan 
 I kíri naàdọ́ọ̀? ;Are you wide awake now?
Ámà, kíri naà eé!;You , be cautious!
 Timítìmi ni kiri-ọbọlọụama;Timítìmi’s habitual way of doing things
Kíriye kì a kọ́rị nị, áràụ́ mu àma sinmí ;Because the ancestors were punishing her with sickness, she has gone to confess
Beribamọ́ kitiyemi;The plantains are all thriving
béi yọ kì; this very place
 Eri kí ì ṭịnmí; It was he who called me
Erí wò tọrụmọ́ bẹ̀rị kị bẹrị ; He opened his eyes wider and wider
Arí ḅụnụ kị bụ̀nụ tímimi; I was fast asleep
 Erí mu gẹgẹlụụ kị kòromi; He fell down without resistance
Erí kịalị kì ạkị bịdẹ́ kọ̀rị nị akíṃị; He abruptly took the cloth
Kímị kị kịmị dụbamọyemi; It is people that make someone great
 Kíṃị paa, bịdẹ paá;People are different as cloths are different
 Erí kịmị-mịẹ-kpọ-mìẹ̣gha bara kị akị fịrị wẹní ṇì ị̣ pịrịmí;He worked for me willingly and humbly
Árì ḳímị- tọbọụ-yaị kị dìseimọyémàáà?;Are you looking down on God’s creation? 
Osuobí dọ̀lọ́ kìṇịkịnịdọọ́ ;The rain has slackened a bit
ị kịrí;it is I who 
 I kịrị kí ṃ ìẹ̣mí.; ̣It was I who did it
ị kíṛì; it is you who  ̣
ụ kịrí;it is he who 
a kíṛì;  ̣it is she who
ọ kíṛì;it is you
ọ kịrí;it is they who 
Egberipóu wò kíṛì, ̣ị mịẹ́ kụ̀rọmọ kaanghí ̣ timimèé;If Egberipou were not involved, I would be very serious
Yémọ dìẹ̣ kịríì;Divide the things equally
Béì mọ enií mọ̀ kíṛì;This and that are different
Wó bo kìṛíìḍọ́ ;We have met well
Wó bo kìṛíìḍọ́ ;We have now become equal
Wo ụmbábì ḳíṛịmụdọ̀;He breathed his last
 Kíṛịmụ pẹ̀lẹị ní, ̣erí fịdọọ́;When his breathing stopped, he died
Kóro tinbàramọ kịrịsịkíṛịsị kị tìmimeé ;The branches of the fallen tree were heaped in fragments
Kíribi kẹ̀ní ḳịsịdọ;The land is ready for farming 
Kíṃịmọ kìṣịkíṣị kị bomi ;The people came in great numbers
Fin-arụ́bì ̣ boubọ́ọ̀ kóro kìṣịí f̣àmị ;The aeroplane crashed into the forest and disintegrated
Sụụ-otúmọ̀ amábị kìṣịịmị;The soldiers have completely destroyed the town
Olótùbi súu- owèibi koromọdẹ́ị nì, ̣erí ụ̀ kịsíịṃị;When the champion threw the weak man, he beat him thoroughly
Sẹ́ị-arụmọ kìṣịí ḅoyemi;The dance-canoes are coming in great numbers
Erí ègberibọ́ọ̀ kíṣịìṇ kị gba nị wó pìṛịmí;us the story in a very short way
Egberibọ́ọ̀ kíṣịìṇmọ gba wó pìṛị ;Tell us the story briefly
ụkpá boubi kìṣịkíṣị kị tìmimeé ;The cane-rope forest was thick and difficult to penetrate
 Odon mọ́ ìṇụ beni mọ́ kòbuídọ ;The yellow and blue colours have blended
I máa kolooyemò! ;You are becoming very serious about it
 I mọ a mọ́mọ kòriyaịghá;I am not on good terms with her
 Egberibí bo ni wo tọrụyọbọọ̀ kóromi; The story came to our hearing
Erí fìṛị ghọ korodọ́ ;He has lost his job
Yọ́bị kiri korodọ; The place has become infilled naturally
ịkịyọ́ụ kpọ̀ ghọ kórogha;(it) does not occur to me
fịrị ghọ koró;  be dismissed from work
 Ọ koró fìṛíị ̣ wẹ̀nịmị;They began to do the work
Áràụ́ oru koroyemi;She is possessed by a deity
Kóro èbi kịmí, ̣kósu ;The person (in a gathering) with a handsome face is the senior
Kóro sei sọ̀wẹịghá;Ugliness of the face cannot be hidden
 Béi bịdẹ̀bị kóromòo!;The width of this cloth is beyond the expected measurement
 Erí ègberibí àkị bó ni wo tọrụyọbọọ̀ kóromọmị ;He brought the story to us
Erí kosu kọrịyemò! ; He has become elderly
Egberibí ìne ghọ kosu sérimi; I am unable to recall the story to my memory.
 Iné kosu akị tọrụ kpaà kụ́mọ;Do not be proud of your seniority
Kósukịmị gba baa sara kaamị; It is easy to convince an old man to tell the truth (because he will not wish to die with a lie on his conscience)
Kósukịmị tọrụ, okurukúrù tọrụ;An old person’s eyes are owl’s eyes (elders command more respect)
 Kọ́ko nì, ̣ye iné ịsọmụ egberibi gbàdọ́; Lest I forget – I have delivered your message
kọ́kọ nì;lest I forget
kọ́kọ nì;I remember
 Ará bụọmọ kọlọkọlọ kị èmi ;Her legs are slender
Ọ máa kọ̀nlẹíỵemò!;You two are embracing each other
Kẹnị kíri kọ̀ọ;One more remains
Maamụ kụ́mọ̀ kọọdọọ́;Only two are left
 Kọnbọ́ kọ̀nbọ́ bìḅị, ofóniama tẹmẹsuo;Everyone finds food for himself, that is the drum-name of fowls
 Kọọ otúmọ̀ bó;Let the remaining people come
 Díribi kọ̀n kaamí ̣;The medicine smarts a lot
Eri kí à kọ́rị wonìmí; He is engaged to her
Mọụ́n ì ḳọrịdọ́;I am hungry
Arí ̣ mọ̀ụ́n kọ̀rịdọọ́;I am hungry
Uruú ụ̀ kọrịdọ́;He is drunk or intoxicated
Erí ùruú kọ̀rịdọọ́ ;He is drunk or intoxicated
 Sịnghaíṇ ì ḳọrịyémi; I am feeling sleepy
 Iné wẹnịfịrịbị ìne tọrụ kọ́rìṃị;Your work satisfies me
 Iné wẹnịfịrịbị ìne tọrụ kọ́rìṃị;I am satisfied with your work
 Fụ́lọụbị fụụ kọ̀rịdọụ́ ;The salt in the soup is enough
Árụ kọrịmọ; Steer the canoe with the paddle
 Arí ị̀ ḳọ́rị paamọdọụ wèé, árì ̣ má fìg̣há èé; I have held you and brought you out – you won’t die again
Erí kọsịkọsị kị dọ̀ọnmị;He is terminally ill with a painful disease
Ọrọọ́ ụ̀ kpaá nì ạkíṭọ ; They have arrested him
i béi kpaayèmi tọrụbị;this pride you are displaying
Fíỵaịmọ kpàí fàdọụ́ wèé;The food is completely finished
Arí f̣uru bịbịbọọ̀ kpáịnfori ki tẹ̀ịnmị;I have been cleared of the accusation of stealing
Arí ̣ ù tolumọ́da aba, erí kpakaà kị mịẹyémi ;When I gave him advice, he vehemently rejected it
Burubí kpàkpaíṇìmí ;The yam has gone bad in parts
Áràụ́ bùrubí kpàkpaịdẹ́ị kọọ̀ tụọmí ;Ṣhe cut off the bad part of the yam before cooking it
Ẹfẹ́rẹbị kpàlakpala kí p̣ẹ̀ịmị; The plate broke into pieces
 Dẹdẹẹ́ kpalakpalayeámà kpe;Only pack some of the small things
Érì kpásịị kì p̣ẹlẹmị;The thread breaks with a snap
Érì kpásịị kì p̣ẹlẹmị;The thread broke with a snap
Eri kí à kọ́rị wonìmí;  He is betrothed to her
 Béi bịdẹ̀bị kóromòo!;The width of this cloth is  up to  the expected measurement
Yémọ dìẹ̣ kịríì;share the things equally
Erí kafalaa kị wàịmị ;he changed his mind
Bíḅị sẹ̀ kpébuu;The teeth are really dirty
Wónì kpée ki nì iné ẹ̀rịyémi; We seldom see you
Ẹpẹ́tẹ̀bị kpekebéè pẹị kóromi; The soil collapsed massively by erosion
Ẹpẹ́tẹ̀bị kpekebéè ki kureimi; The soil collapsed massively by erosion
 Tíṇbị kpèke dií ;Shake the stick and see
Tíṇbị kpèkeíyemi; The tree is shaking
 Kíri sẹ̀ kpekelekpékele ki èmi ;The ground is quite uneven
Wó wẹnị bo kpekpereedọ ;We have just come across each other
Áràụ́ mu ni ụ̀ mọmọ kpekpéreemi ; She met him unexpectedly
Olólo famụda aba, kpẹ́ẹ kị fìeyémi; When the bottle is struck, it clinks
 I kpẹ́ịn nì ẹ̣rẹẹ́ mọ̀, ye ị famụ́dọụ wèé ;If you dare talk, I will beat you
Olólo famụda aba, kpẹ́ịn kị (kpẹ́ìṇ kị) fìeyémi ;When the bottle is struck, it gives a clinking sound
Boweibení bo ni ògbó mọ̀ kpẹkpẹkpẹ kí p̣àadọ́ ;The flood-water has risen and is threatening to overflow into the town
