word;meaning
 Bára mu, bára bo; Kindness begets kindness
Bára sèibọọ́, bára fịnà;"Anyone with a bad hand should bandage it (statement by town-crier meaning that no one is excused from manual work);   and in fishing"
bára tọlọ̀ ;"produce or give scantly, in a miserly way; bára tụà taste food before offering it to guests"
 bíẹ̣n kaan; tear one’s hair  in exasperation
 bára koròmọ ;";begin, start, commence any piece of work"
Maa baramọ́ dụ̀dụ kí ̣ sụ̀ụrụyémi;The two hands wash each other as in One good turn deserves another
Kála barà nị opu bárà dọụ; The small hand provoked the big one (reply to child who has provoked a bigger one and appeals for help when he is beaten)
bára saramọ;" hurry up; be quick; make haste; speed up"
bára sèí;" bad hand-writing ,  join others to eat when asked to do so, even though one is not hungry; this is done as a customary sign of love, use finger to help spin top out of hole"
bára tịẹ ;throw or shoot at accurately, as in marksmanship
bára yaịnmọ̀ ;crack one’s knuckles
bára waì;react, retaliate
bára walàmọ; try at many sides or look for help from many hands, e.g. as in donation, or as when something is lost and one needs the help of many people to look for that lost thing
bára zụ̀wẹí;struggle for something with the hands
ama bar;á right hand
kála barà;small hand,  hour-hand of clock,small or younger person provoking a bigger or older one
 Kẹ́nị baragbasa tịbị ghọ ùgú bagha ;"One finger alone cannot kill lice on the head; kọ́nọ bara left hand"
 opu bará;minute hand of a clock, big hand
 N mánị ẹ̀rẹ timi ní ụ̀ mịẹ báramọnghịdọụ wò;If you talk like this, you will make him forget (what he is saying)
Yébi sẹ̀ bo ni ìṇ ọọ́ bàramọ́ọ̀ kị paadọ́ụ wèé;The matter has just slipped my memory.
bárasubòye;menses
 báratịbì¹̣ ;thumb
bárasubò ;menstruation
 báratịbì²̣ ;independence
 báratịbì ṇ ana ; have independence
Barí g̣ba;Say it again
barí ṃìẹ̣́ ;do again,repeat,help
Erí fìṛịbọ́ọ̀ ị barí ṃìẹ̣mí;  ̣ He helped me with the work
árịị kị nì ẉoó ùkiemọmị ;He reminded him repeatedly.
Béì ifíyàn barịmọ́yè ;This is something to go with the snuff (drink).
Erí kẹ̀ní ẹ̀gberí nàa mọ, bụ́ọ mọ kiri mọ batein;As soon as he heard the story, his feet were rooted to the ground in confusion
"Erí bei tuùbi múmèé; bá timiya, arí ụ̣ ̀ famụnghí ṭimimi";"He later went; if he had not, I would have beaten him"
