word:meaning
ịtọ́nlẹị:dew
ịva a líì:having the top or tip cut off, and thus abnormally short
ịvịadọọ́n:hot flushes and pain related to the menopause
ịvịlịváà:very short (as cutlass)
ịwawáịn:straggling shrub growing between sandbank and dry land
ịwẹsí:tassel; silky threads in a cob of maize
ịwịrí:pubic hair (male or female)
ịwọ́nwọọn:carry along many dependants
ịwọ́nrọnrọn:tree (Pauridiantha hirtella)
ịwọ́wọọn:carrying many small things together
ịyánfanran-bara-dii:a bigger species of opúru resembling ofónì
ịyanghí¹:rope made from the midrib of the palm frond
ịyanghí²:small undeveloped fruit (of oil-palm or plantain)
ịyáụ:yam bean, eaten as a food
ịyẹẹ́n:be prepared or ready to; be on the alert
ịyọ́rọbùrú:water-yam (Dioscorea alata)
ịyọ́rọ-ẹdẹdẹ:herb (unidentified)
iy¢¢¢¢ ór¢¢¢¢ o-¢¢¢¢ obori:she-goat; nanny-goat
ịyọ́ụn¹:burn (up)
ịyọ́ụnkọrị:medicinal herb
ịyọ́ụnmọ:burn (something); burn (body) by fire or with hot liquid or steam
ịzaá:fork; crutch; span (from tip of thumb to end of middle finger)
ịzaán:be many, plentiful
ịzághaị:inflorescence of sugar-cane; flower (of sugar-cane)
ịzáì:yaws
ịzáịfìla:fluid oozing from yaws
ịzáịyènghi:initial sore of attack of yaws
ịzịgịzáà:small (of person or cloth tied around the waist)
ịzọ́kọọ:projecting and few in number (as child’s first teeth or teeth of grasscutter)
Nzọ́n¹:Nzọn (language and people); lunar month
ịzọ́n²:true; genuine; factual
ịzọ́n-uru:palmwine
ịzọ́zọọ:of dwarfish size; smallish and of a very light weight (esp. of fruit or plantain)
ịzụkụ́ụ̀:aplump person with a very short neck
káan³:plot against someone (through a god or people)
káan4:ask someone to do work and then entertain him
káá:perhaps
káan-kọ̀ọmọ-akpakpa:counterfoil (of cheque)
káan:after (strain and struggle implied)
káanran:clear the throat; hawk
káarịì:shout of exclamation meaning ‘Serve you right!’
kabulúkà:carbolic soap
kabụ́¹:speak in proverbs; make innuendoes
kabụ́²:proverb
kabụkábụ̀:in proverbs
kábụkabụ:boring; tiring; uninteresting; monotonous
káfalaa:sudden (in turning around, in reneging on an agreement, or in changing one’s mind)
kagíì:be locked; be blocked (by debris, etc.)
kagíì:tough and impenetrable (of grass or vegetation); thick and bushy (of hair on the head)
káịgò:cargo; wares
kai¢¢í¢¢ ì:be locked; be blocked (by debris, etc.)
káịkàị:sound of thumping steps
káịmọ:lock against, either outside or inside of a door or gate
kaín:tear (as cloth); burst (as bag, stomach)
kaịn-káịn:tattered
káịn-kàịn:with the sound of striding on hard ground
káịn-kàịn-káịn:moving with a thud; thudding strongly; energetic
káka:tie (cloth); moor (canoe)
kakabakákaba:looking filthy, unpleasant (of a dried-up liquid)
kákabiì:with a snap; with a sudden and painful bite
kákabịì:with a snap; with a sudden and painful bite
kakaí:get tied up, stuck or gummed together, entangled (as nets)
kákaị:browse (as animals); lightly graze
kakaịkákaị:trimmed roughly (as of hair)
kákaịndà:ugly face-mask worn by leader of a group of youths
kákaka:difficult; taut; unyielding; not giving way
kákamọ:tie cloth on someone; involve someone else in a case
kákamọ:make fast to
kákara:make an indirect attack on somebody; drop hints about a person
kákarakàkara:struggling; contending with in violent effort to get free or escape grasp
kákarakòkoro:chewing with difficulty, as a hard bone by a dog
kakoroó:strong without flesh (of body); hard without water (of land); stiff
kákpee:at a loss; dumbfounded; gaping
kálasìgó:a game in which one hops on one foot
kálee:peeping by craning one’s neck
kálèí:small thing
kálị:very quickly (of escaping)
kálsìọ̣mụ:calcium
kambalá²:little odd lines of thread that appear when bamboo poles are being split
kambiríì:describes badly-fitting clothes worn by someone
kambịríì:badly-fitting
kamụkamụ́:a bad smell or odour resulting from burning food or kernels
kámụkamụ:describes a dirty throat or the surface of a hardened sore
Kana:the chief deity of Kabo clan
kanbakánba:messy (as of a face covered with spittle)
kanganghíì:sticky; gummy
kangaraá:tall; majestic; tall and big with curved features
kangbịríì:sour; of acid taste as a result of fermentation
kangulukángulu¹:badly shaped; having several bends and curves
kangulukángulu²:describes looks and movements showing annoyance and reluctance
kangụlụkángụlụ:showing annoyance and reluctance
kán kọọ̀:as soon as; immediately; scarcely
kanléè:having an awkward shape
kanlekanlé:describes an awkward running away to escape blame or danger
kápu:describes the sound of something suddenly snapping or breaking
kápụ:describes the sound of something suddenly snapping or breaking
kára¹:carve; chop, cut; peel with knife; sharpen to a point
kára²:be complete
karaí:be complete
káraịnkàraịn:swarming; free-moving (of people)
karakárà:be real, actual; reach the zero hour, the opportune moment
karakpokárakpo:bony (e.g. of sunken flesh)
kárammọ:make up a number; -th (forms ordinal expressions)
káran:fish, the largest size of Niger perch
karamú-kìrimú:describes the way a great eater eats
karangbóò:lanky; bony
kárapu:sound of biting or snapping (as of a breaking bone) audibly
kárapụ:biting or snapping audibly
káraroò:sound made by gnawing a very tough bone
kárasị:over-mature, esp. of okra
karasịkárasị:describes sharp, broken pieces of anything
karigbekárigbe:maroon (colour); very dark red
karí¹:worship; pray
karí²:worship; prayer
karịgódo-kìrigódo:bubbling sound of a boiling pot of food or soup
karịmọ́:invoke against; wish evil for someone
karịwar rí:church (building)
kárọtụ̀:carrot
karukarú:reddish; brown; pink
karụkarụ́:red, bloodshot (esp. of eyes)
kásara:bamboo mat used for storing uncracked palm-kernels
kásiì:sound made when spearing something
kásịì:sound made when spearing something
kásìḳ órorò:musical instrument made of a stick
kasú:cashew
katarií:sturdy; well-shaped (of man); muscular; masculine
katirikátiri:rough (as skin, resulting from scars)
katí:pluck (fruit)
katịrịkátịrị:rough (as skin, resulting from scars)
kátoo:standing still and gazing up or down in shock at sudden news
kátụụ:angry and talking in annoyance to someone, finding fault
kau:sound of cutting with an axe
káu:describes sound as of piercing through a fish or animal with a spear
káụ:describes sound as of piercing through a fish or animal with a spear
kaụ́n²:dry palm fibre from which oil has been extracted
kaụnkaụ́n:describes a suffocating smell, such as that caused by burning pepper
káwookawoo:describes the whining of a dog or child when beaten
keberéè:drowsy; half-asleep
keberekébere:speaking with hesitation
kee:describes a very slow, sickly movement
kée:exclaim
kéfere:difference between ebb and flow tide when it is greater than usual
kéìin:resisting being pulled down, pushed, or moved in any way
keikeí:be hesitant and shaking in voice; be cautious
keikélekè:an expression used esp. by children when something has gone wrong
kéìin:stuck; not moving forward or backward
kéin:settle down; consolidate; coagulate
kéinkein:sound; healthy; strong; fit
kéke:hollow out hole with sharp instrument
kékemọ:be almost completed, on the point of finishing
kékere:sound of drum
kekereé:stiff; hard
kelé:be careful; calculate sensibly
kelékèlé:trail-net; small drawnet
kélelèe:hanging precariously; in a quandary
keleleí:struggle to reach a height
kélelekèlele:unsteady in climbing; likely to fall
kélemuu:decreasing very much, as of liquid
kéle-ụngụọ:a fish (Synodontis sorax)
kélikeli:meticulous
kéluu:peeping (by larger person); peering to see something at a distance
kemí:stitch a torn piece of cloth; repair woven objects
kendereé:with body and limbs stiff, inflexible and in a circular form
kenenéè:cracking (as pot)
kenenékènené:having many cracks
kengeléè:unbalanced; lopsided
kengereé:with body and limbs stiff, inflexible and in a circular form
kénghi:congeal; be sticky
kenléè:not balanced; slanting; oblique
kérebukèrebu:very nervous; liable to panic
keréè:describes the way liquid covers an area up to the brim
kérein:stagnant; unable to move any longer; stuck to
kerekeré:be bright and glowing (of fire)
kerenkerén:very clean (as of yard, verandah, floor, etc.)
kérerekèrere:with difficulty
kérerùu:all over; complete
kéreun:describes sound when two large objects collide or clash
kérigha aba:perhaps
kerikerí:very anxious; impatient
pure:true
késiye:truth
ketekpaá:describes a huge man standing; acting like a huge man
kẹẹẹ:describes a very slow, sickly movement
kẹẹ́n¹:neat, of medium complexion and fairly small in size
kẹẹrẹ́nkẹ̀ẹrẹ́n:approaching or advancing in fear
kẹ́fẹẹ¹:with exposed anus as a result of bending down
kẹ́fẹẹ²:describes someone looking emaciated and listless after sickness
kẹịkẹí:(of hair) reddish and scanty
kẹ́ịkẹ̀ị:sound of clock or watch ticking; tick-tock
kẹ́ịkẹị:nearing death or end; almost extinguished or defunct
kẹ́ịn:fairly heavy (to carry); weighty
kẹ́ịnkẹịn:strong; strongly built
kẹ́kẹlẹ:chip off (e.g. a palm kernel or coconut kernel)
kẹ́kụ:compete (in sport, etc.); put one’s strength to the test
kẹ́kụ̀rụ:smallest size of tree-squirrels
kẹ́lẹlẹ̀ẹ:very near to a break-up
kẹlẹlẹí:struggle to reach, as by a tiny person
kẹ́lẹlẹkẹ̀lẹlẹ:describes the struggle to climb anything bigger than the climber
kẹlí:chip off or cut off the stalks of palm leaves at the base
kẹ́lụụ¹:peeping, peering (by smaller person)
kẹ́lụụ²:below average (person) in size
kẹmbẹlẹ́ẹ̀¹:turning abruptly to one side
kẹmbẹlẹ́ẹ̀²:not straightforward; not direct; crooked
kpekií:get together
kpekimẹín:be gathered together
kpékimọ:support; prop; bolster up
kpékinaa:very great
kpéleè:describes child with bulging stomach
kpememeé:slimy; hanging down
kpememekpémeme:slimy, jelly-like
kpengbereé:tall; solid; bulky
kpépaa:in a thoughtful mood
kpépuu:describes a closed mouth with plump cheeks
kpérein:banging; meeting with force or sudden impact, colliding; colliding; striking against
kpererée:breaking asunder; breaking into two; splitting into two
kperikperí:describes stomach which protrudes on account of having taken in much food and/or water
kpéte nì:see ikpéte nì
kpéwe:describes sound as of blow on the head with a stick
kpẹbụụ¹:describes a distended stomach
kpẹbụụ²:short tish
kpẹbụụ³:an expression saying that a woman is in the family way
kpẹ́ẹ̀:never!; (emphatically) no!
kpẹ́ẹ¹:unconcernedly; idly
kpẹ́ẹ²:clinking
kpẹ́ẹkpẹ̀ẹ:talking intelligently and fast
kpẹ́ẹlẹkpẹ̀ẹlẹ¹:delicate; weak; on the verge of falling
kpẹ́ẹlẹkpẹ̀ẹlẹ²:taking things lightly
kpẹ́ẹnẹkpẹ̀ẹnẹ:a feeling of pain from a slight dislocation at the joint
kpẹ́ẹrẹkpẹ̀ẹrẹkpẹ́ẹrẹ:talkative; loquacious; chattering; talking quickly or smartly; sputtering; spluttering
kpẹ́ìṇ:never!; (emphatically) no!
kpẹ́ịn¹:dare
kpẹ́ịn²:describes a high-pitched sound
kpẹ́kẹ¹:talk or act in a jovial, agreeable manner
kpẹ́kẹ²:cape; headland
kpẹ́kẹlẹ:fish with a rod by shaking the rod to keep the bait moving
kpẹ́kẹlẹẹ̀:too near the edge; dangerously poised
kpẹ́kẹlẹẹ̀mọ:in a dangerously poised way
kpẹ́kpẹ̀:talking fast and intelligently, or insolently
kpẹ́kpẹ:toiling; working laboriously
kpẹ́kpẹ̀kpẹ́:talking intelligently and fast
kpẹkpẹkpẹẹ́:close and threatening
kpẹ́kpẹnẹẹ:be quite empty
kpẹ́kpẹrẹ:close
kpẹ́kpẹrẹ bịna owei:very close male relative
kpẹkụụ́:short; low; not high or tall
kpẹ́lẹ:trifle
kpẹ́lẹẹ̀:describes a protruding and overhanging object
kpẹlẹlẹẹ:empty and tired-looking; disappointed
kpẹlẹlẹẹ́:describes a tired and disappointed mood
kpẹlịkpẹlí:describes swollen cheeks
kpẹ́lụụ:lonely; lonesome
kpẹnẹbẹẹ:looking sickly; inactive
kpẹ́nẹnẹ̀ẹ:slender
kpẹ́ngbẹịnkpẹngbẹịn:a four-cornered wooden drum used in the Asúkò dance
kpẹngẹín kpẹ̀ngẹín:attractive; neat
kpẹnghẹzẹẹ́:weak and indolent; languid; apathetic
kpẹtẹẹ́¹:be enough, sufficient
kpẹtẹẹẹ́²:dormant; inactive; not in use
kpẹtí:discuss
kpẹ́ụn:very low or very short
kpẹ́wẹ:describes a light blow
kpíbu:brittle
kpíbuu:sound of something bursting
kpiii¹:flying out together, or moving out at once in a group
kpiii²:falling with a thud
kpíìn:thickly woven, as of cloth or fish- trap; thick, well covered
kpíiri:roll
kpíirikpìiri:heavy; heavy with child
kpíkaàkpíkaà:describes the movement of one with an injured leg
kpíki:limp; walk like a lame person
kpíkpi:sound of knocking on someone’s door at night
